equipo_local,equipo_visitante,goles_local,goles_visitante,resultado
Velez,Aldosivi,2,0,L
Racing Club,Rosario Central,0,1,V
San Lorenzo,Colon,2,0,L
Gimnasia (LP),Def y Justicia,0,1,V
Godoy Cruz,San Martin (SJ),1,1,E
Newells,Independiente,2,3,V
Banfield,Temperley,0,1,V
Crucero (M),Tigre,0,0,E
Quilmes,Lanus,0,1,V
Union,Huracan,1,0,L
Boca Juniors,Olimpo,3,1,L
Argentinos,Atl Rafaela,2,0,L
Sarmiento (J),River Plate,1,4,V
Arsenal,Estudiantes (LP),0,1,V
Belgrano,Nueva Chicago,3,1,L
Atl Rafaela,Banfield,1,4,V
Huracan,Arsenal,1,0,L
Estudiantes (LP),Godoy Cruz,2,1,L
Rosario Central,Tigre,2,1,L
Olimpo,Racing Club,0,0,E
Velez,Crucero (M),2,1,L
San Martin (SJ),Gimnasia (LP),1,1,E
Aldosivi,Newells,0,1,V
Nueva Chicago,Union,2,2,E
Independiente,Sarmiento (J),1,1,E
River Plate,Quilmes,2,2,E
Colon,Argentinos,1,1,E
Temperley,Boca Juniors,0,2,V
Lanus,Belgrano,0,0,E
Def y Justicia,San Lorenzo,1,2,V
Arsenal,Nueva Chicago,1,1,E
Godoy Cruz,Huracan,2,1,L
Tigre,Olimpo,1,0,L
Crucero (M),Rosario Central,0,1,V
Union,Lanus,1,1,E
Quilmes,Independiente,1,2,V
San Lorenzo,San Martin (SJ),1,2,V
Gimnasia (LP),Estudiantes (LP),1,3,V
Boca Juniors,Atl Rafaela,1,0,L
Argentinos,Def y Justicia,1,0,L
Racing Club,Temperley,2,1,L
Belgrano,River Plate,1,2,V
Sarmiento (J),Aldosivi,2,2,E
Banfield,Colon,0,0,E
Newells,Velez,0,0,E
Huracan,Gimnasia (LP),1,1,E
Atl Rafaela,Racing Club,1,1,E
Nueva Chicago,Godoy Cruz,0,2,V
Olimpo,Rosario Central,1,3,V
Aldosivi,Quilmes,1,1,E
Independiente,Belgrano,1,2,V
Newells,Crucero (M),2,0,L
Velez,Sarmiento (J),1,1,E
Lanus,Arsenal,0,0,E
Def y Justicia,Banfield,1,0,L
River Plate,Union,2,2,E
San Martin (SJ),Argentinos,0,0,E
Colon,Boca Juniors,1,1,E
Temperley,Tigre,1,1,E
Estudiantes (LP),San Lorenzo,0,2,V
Crucero (M),Olimpo,0,0,E
Racing Club,Colon,4,1,L
Banfield,San Martin (SJ),3,2,L
Boca Juniors,Def y Justicia,2,1,L
Union,Independiente,1,1,E
Sarmiento (J),Newells,1,2,V
Quilmes,Velez,2,1,L
Argentinos,Estudiantes (LP),2,2,E
San Lorenzo,Huracan,3,1,L
Tigre,Atl Rafaela,2,1,L
Godoy Cruz,Lanus,1,5,V
Rosario Central,Temperley,1,0,L
Belgrano,Aldosivi,0,1,V
Arsenal,River Plate,3,3,E
Gimnasia (LP),Nueva Chicago,2,1,L
Newells,Quilmes,1,1,E
Lanus,Gimnasia (LP),2,0,L
Colon,Tigre,0,1,V
Velez,Belgrano,1,2,V
Independiente,Arsenal,4,0,L
Huracan,Argentinos,4,0,L
Sarmiento (J),Crucero (M),2,1,L
Atl Rafaela,Rosario Central,1,1,E
Estudiantes (LP),Banfield,1,2,V
Def y Justicia,Racing Club,1,1,E
River Plate,Godoy Cruz,1,0,L
San Martin (SJ),Boca Juniors,1,1,E
Nueva Chicago,San Lorenzo,0,1,V
Aldosivi,Union,3,3,E
Temperley,Olimpo,0,0,E
Quilmes,Sarmiento (J),0,4,V
Rosario Central,Colon,1,1,E
Olimpo,Atl Rafaela,0,0,E
Banfield,Huracan,1,0,L
Godoy Cruz,Independiente,2,2,E
San Lorenzo,Lanus,4,0,L
Crucero (M),Temperley,1,0,L
Belgrano,Newells,2,0,L
Racing Club,San Martin (SJ),2,0,L
Boca Juniors,Estudiantes (LP),3,0,L
Union,Velez,1,0,L
Gimnasia (LP),River Plate,2,3,V
Tigre,Def y Justicia,0,0,E
Argentinos,Nueva Chicago,1,1,E
Arsenal,Aldosivi,0,3,V
Sarmiento (J),Belgrano,1,3,V
Estudiantes (LP),Racing Club,1,1,E
Atl Rafaela,Temperley,1,1,E
Def y Justicia,Rosario Central,3,3,E
Aldosivi,Godoy Cruz,2,0,L
Independiente,Gimnasia (LP),1,1,E
Velez,Arsenal,2,1,L
River Plate,San Lorenzo,1,0,L
Lanus,Argentinos,0,1,V
Huracan,Boca Juniors,0,2,V
Colon,Olimpo,1,0,L
Quilmes,Crucero (M),3,1,L
San Martin (SJ),Tigre,3,1,L
Nueva Chicago,Banfield,1,2,V
Newells,Union,2,0,L
Crucero (M),Atl Rafaela,1,1,E
Temperley,Colon,2,1,L
Godoy Cruz,Velez,2,2,E
Gimnasia (LP),Aldosivi,4,1,L
Rosario Central,San Martin (SJ),2,1,L
Racing Club,Huracan,2,0,L
San Lorenzo,Independiente,1,0,L
Olimpo,Def y Justicia,0,0,E
Banfield,Lanus,1,2,V
Union,Sarmiento (J),0,1,V
Boca Juniors,Nueva Chicago,0,0,E
Argentinos,River Plate,1,2,V
Arsenal,Newells,3,0,L
Tigre,Estudiantes (LP),2,0,L
Belgrano,Quilmes,2,1,L
Estudiantes (LP),Rosario Central,1,1,E
Sarmiento (J),Arsenal,2,0,L
Huracan,Tigre,1,2,V
Def y Justicia,Temperley,0,1,V
Independiente,Argentinos,0,0,E
Velez,Gimnasia (LP),0,1,V
Belgrano,Crucero (M),1,0,L
Nueva Chicago,Racing Club,0,0,E
Aldosivi,San Lorenzo,1,0,L
River Plate,Banfield,4,1,L
San Martin (SJ),Olimpo,2,0,L
Lanus,Boca Juniors,1,3,V
Quilmes,Union,1,3,V
Colon,Atl Rafaela,2,1,L
Newells,Godoy Cruz,2,0,L
Godoy Cruz,Sarmiento (J),1,0,L
Olimpo,Estudiantes (LP),0,0,E
Gimnasia (LP),Newells,0,0,E
San Lorenzo,Velez,1,0,L
Argentinos,Aldosivi,0,1,V
Racing Club,Lanus,2,0,L
Rosario Central,Huracan,1,1,E
Atl Rafaela,Def y Justicia,2,1,L
Banfield,Independiente,1,1,E
Tigre,Nueva Chicago,2,0,L
Boca Juniors,River Plate,2,0,L
Union,Belgrano,1,1,E
Arsenal,Quilmes,0,1,V
Crucero (M),Colon,0,0,E
Temperley,San Martin (SJ),0,1,V
Nueva Chicago,Rosario Central,0,2,V
Lanus,Tigre,1,1,E
Estudiantes (LP),Temperley,2,1,L
Quilmes,Godoy Cruz,0,0,E
Huracan,Olimpo,1,3,V
Union,Crucero (M),5,2,L
Newells,San Lorenzo,1,1,E
Velez,Argentinos,0,1,V
Belgrano,Arsenal,2,0,L
Aldosivi,Banfield,0,3,V
River Plate,Racing Club,0,0,E
San Martin (SJ),Atl Rafaela,1,1,E
Independiente,Boca Juniors,1,1,E
Sarmiento (J),Gimnasia (LP),0,0,E
Def y Justicia,Colon,2,3,V
Gimnasia (LP),Quilmes,3,2,L
Crucero (M),Def y Justicia,3,1,L
Temperley,Huracan,0,0,E
Arsenal,Union,1,1,E
Rosario Central,Lanus,1,1,E
Colon,San Martin (SJ),2,2,E
Banfield,Velez,1,3,V
Olimpo,Nueva Chicago,0,0,E
San Lorenzo,Sarmiento (J),3,0,L
Atl Rafaela,Estudiantes (LP),1,2,V
Racing Club,Independiente,1,0,L
Argentinos,Newells,2,1,L
Boca Juniors,Aldosivi,0,3,V
Godoy Cruz,Belgrano,1,0,L
Tigre,River Plate,0,0,E
Quilmes,San Lorenzo,1,2,V
Nueva Chicago,Temperley,0,2,V
Sarmiento (J),Argentinos,0,0,E
Belgrano,Gimnasia (LP),0,1,V
Independiente,Tigre,1,0,L
Newells,Banfield,1,1,E
Union,Godoy Cruz,1,0,L
San Martin (SJ),Def y Justicia,2,2,E
Aldosivi,Racing Club,1,2,V
River Plate,Rosario Central,2,0,L
Estudiantes (LP),Colon,0,0,E
Velez,Boca Juniors,2,0,L
Arsenal,Crucero (M),1,0,L
Huracan,Atl Rafaela,3,2,L
Lanus,Olimpo,2,0,L
Gimnasia (LP),Union,5,2,L
Banfield,Sarmiento (J),0,0,E
Argentinos,Quilmes,0,2,V
Colon,Huracan,1,1,E
Temperley,Lanus,1,1,E
San Lorenzo,Belgrano,0,0,E
Crucero (M),San Martin (SJ),3,1,L
Rosario Central,Independiente,1,1,E
Atl Rafaela,Nueva Chicago,2,0,L
Racing Club,Velez,3,1,L
Boca Juniors,Newells,4,0,L
Godoy Cruz,Arsenal,0,0,E
Olimpo,River Plate,1,1,E
Tigre,Aldosivi,2,1,L
Def y Justicia,Estudiantes (LP),0,1,V
Arsenal,Gimnasia (LP),0,1,V
Estudiantes (LP),San Martin (SJ),0,0,E
Belgrano,Argentinos,2,1,L
River Plate,Temperley,1,1,E
Union,San Lorenzo,1,1,E
Quilmes,Banfield,0,1,V
Huracan,Def y Justicia,0,0,E
Lanus,Atl Rafaela,3,0,L
Nueva Chicago,Colon,0,0,E
Independiente,Olimpo,3,1,L
Newells,Racing Club,3,0,L
Godoy Cruz,Crucero (M),3,0,L
Sarmiento (J),Boca Juniors,0,1,V
Aldosivi,Rosario Central,1,3,V
Velez,Tigre,2,2,E
San Lorenzo,Arsenal,3,0,L
Banfield,Belgrano,1,2,V
Olimpo,Aldosivi,3,1,L
Boca Juniors,Quilmes,2,1,L
Def y Justicia,Nueva Chicago,2,1,L
Atl Rafaela,River Plate,1,5,V
Racing Club,Sarmiento (J),2,1,L
Colon,Lanus,1,2,V
Tigre,Newells,0,0,E
San Martin (SJ),Huracan,3,2,L
Rosario Central,Velez,0,0,E
Temperley,Independiente,0,1,V
Gimnasia (LP),Godoy Cruz,2,0,L
Crucero (M),Estudiantes (LP),1,2,V
Argentinos,Union,1,2,V
Aldosivi,Temperley,0,0,E
Gimnasia (LP),Crucero (M),2,1,L
Sarmiento (J),Tigre,0,1,V
River Plate,Colon,3,1,L
Union,Banfield,0,0,E
Independiente,Atl Rafaela,2,0,L
Velez,Olimpo,0,2,V
Godoy Cruz,San Lorenzo,1,1,E
Newells,Rosario Central,0,1,V
Quilmes,Racing Club,2,1,L
Huracan,Estudiantes (LP),1,0,L
Lanus,Def y Justicia,0,1,V
Belgrano,Boca Juniors,0,1,V
Nueva Chicago,San Martin (SJ),0,0,E
Arsenal,Argentinos,3,2,L
Atl Rafaela,Aldosivi,2,1,L
Temperley,Velez,2,1,L
Argentinos,Godoy Cruz,0,0,E
Estudiantes (LP),Nueva Chicago,1,0,L
San Lorenzo,Gimnasia (LP),1,0,L
Colon,Independiente,0,1,V
Rosario Central,Sarmiento (J),1,1,E
Olimpo,Newells,2,0,L
Racing Club,Belgrano,0,0,E
Crucero (M),Huracan,3,3,E
Boca Juniors,Union,3,4,V
Tigre,Quilmes,0,1,V
Banfield,Arsenal,4,1,L
